lat,lon,alt,date,device,os,version
39.9825706482,-83.0081634521,226.819046021,2013-03-02 17:10:24,"iPhone4,1",6.1.2,1.1
39.9825706482,-83.0081634521,226.819046021,2013-03-02 17:10:24,"iPhone4,1",6.1.3,1.1
39.9817085266,-83.001373291,232.768630981,2013-03-02 22:13:20,"iPhone4,1",6.1.2,1.1
39.9817085266,-83.001373291,232.768630981,2013-03-02 22:13:20,"iPhone4,1",6.1.3,1.1
39.9837875366,-82.958656311,232.722000122,2013-03-02 23:13:04,"iPhone4,1",6.1.2,1.1
39.9837875366,-82.958656311,232.722000122,2013-03-02 23:13:04,"iPhone4,1",6.1.3,1.1
40.0487098694,-82.9165115356,237.985824585,2013-03-02 23:23:44,"iPhone4,1",6.1.2,1.1
40.0487098694,-82.9165115356,237.985824585,2013-03-02 23:23:44,"iPhone4,1",6.1.3,1.1
40.0526733398,-82.91355896,250.880081177,2013-03-02 23:34:24,"iPhone4,1",6.1.2,1.1
40.0526733398,-82.91355896,250.880081177,2013-03-02 23:34:24,"iPhone4,1",6.1.3,1.1
40.0004005432,-82.9315795898,258,2013-03-03 00:53:20,"iPhone4,1",6.1.2,1.1
40.0004005432,-82.9315795898,258,2013-03-03 00:53:20,"iPhone4,1",6.1.3,1.1
39.9826087952,-83.0002746582,255.196090698,2013-03-03 00:59:44,"iPhone4,1",6.1.2,1.1
39.9826087952,-83.0002746582,255.196090698,2013-03-03 00:59:44,"iPhone4,1",6.1.3,1.1
39.982131958,-83.0012435913,238,2013-03-03 01:25:20,"iPhone4,1",6.1.2,1.1
39.982131958,-83.0012435913,238,2013-03-03 01:25:20,"iPhone4,1",6.1.3,1.1
39.9776382446,-83.0036239624,231.988815308,2013-03-03 15:02:24,"iPhone4,1",6.1.2,1.1
39.9776382446,-83.0036239624,231.988815308,2013-03-03 15:02:24,"iPhone4,1",6.1.3,1.1
39.9662399292,-83.0012130737,238.623016357,2013-03-03 15:08:48,"iPhone4,1",6.1.2,1.1
39.9662399292,-83.0012130737,238.623016357,2013-03-03 15:08:48,"iPhone4,1",6.1.3,1.1
39.9823913574,-83.0027999878,229.501647949,2013-03-03 15:19:28,"iPhone4,1",6.1.2,1.1
39.9823913574,-83.0027999878,229.501647949,2013-03-03 15:19:28,"iPhone4,1",6.1.3,1.1
39.9689826965,-83.001159668,232.31149292,2013-03-03 17:12:32,"iPhone4,1",6.1.2,1.1
39.9689826965,-83.001159668,232.31149292,2013-03-03 17:12:32,"iPhone4,1",6.1.3,1.1
39.9823417664,-83.0030059814,233.419052124,2013-03-03 17:42:24,"iPhone4,1",6.1.2,1.1
39.9823417664,-83.0030059814,233.419052124,2013-03-03 17:42:24,"iPhone4,1",6.1.3,1.1
39.9632644653,-82.9958572388,232.438613892,2013-03-03 23:38:40,"iPhone4,1",6.1.2,1.1
39.9632644653,-82.9958572388,232.438613892,2013-03-03 23:38:40,"iPhone4,1",6.1.3,1.1
39.9574699402,-82.995223999,234.366363525,2013-03-03 23:47:12,"iPhone4,1",6.1.2,1.1
39.9574699402,-82.995223999,234.366363525,2013-03-03 23:47:12,"iPhone4,1",6.1.3,1.1
39.9865531921,-83.0016098022,236.783035278,2013-03-04 00:23:28,"iPhone4,1",6.1.2,1.1
39.9865531921,-83.0016098022,236.783035278,2013-03-04 00:23:28,"iPhone4,1",6.1.3,1.1
39.9819374084,-83.0014572144,232.465164185,2013-03-04 01:08:16,"iPhone4,1",6.1.2,1.1
39.9819374084,-83.0014572144,232.465164185,2013-03-04 01:08:16,"iPhone4,1",6.1.3,1.1
39.9831237793,-83.0073165894,228.881454468,2013-03-04 14:43:12,"iPhone4,1",6.1.2,1.1
39.9831237793,-83.0073165894,228.881454468,2013-03-04 14:43:12,"iPhone4,1",6.1.3,1.1
39.9839630127,-83.0334625244,224,2013-03-04 18:27:12,"iPhone4,1",6.1.2,1.1
39.9839630127,-83.0334625244,224,2013-03-04 18:27:12,"iPhone4,1",6.1.3,1.1
39.9827461243,-83.0083770752,223,2013-03-04 18:48:32,"iPhone4,1",6.1.2,1.1
39.9827461243,-83.0083770752,223,2013-03-04 18:48:32,"iPhone4,1",6.1.3,1.1
39.9808349609,-83.0029525757,230.317123413,2013-03-04 23:38:40,"iPhone4,1",6.1.2,1.1
39.9808349609,-83.0029525757,230.317123413,2013-03-04 23:38:40,"iPhone4,1",6.1.3,1.1
39.9828491211,-83.0085220337,226.843215942,2013-03-05 14:26:08,"iPhone4,1",6.1.2,1.1
39.9828491211,-83.0085220337,226.843215942,2013-03-05 14:26:08,"iPhone4,1",6.1.3,1.1
